Created Date,Closed Date,Location Type,Incident Zip,City,Borough,Latitude,Longitude
12/31/15 0:01,12/31/15 3:48,Store/Commercial,10034,NEW YORK,MANHATTAN,40.86618344,-73.91893043
12/31/15 0:02,12/31/15 4:36,Store/Commercial,10040,NEW YORK,MANHATTAN,40.85932419,-73.93123734
12/31/15 0:03,12/31/15 0:40,Residential Building/House,10026,NEW YORK,MANHATTAN,40.79941541,-73.95337117
12/31/15 0:03,12/31/15 1:53,Residential Building/House,11231,BROOKLYN,BROOKLYN,40.67828511,-73.99466779
12/31/15 0:05,12/31/15 3:49,Residential Building/House,10033,NEW YORK,MANHATTAN,40.85030372,-73.93851563
12/31/15 0:08,12/31/15 1:59,Residential Building/House,10467,BRONX,BRONX,40.85874768,-73.86562454
12/31/15 0:11,12/31/15 6:24,Residential Building/House,11230,BROOKLYN,BROOKLYN,40.61700536,-73.95692046
12/31/15 0:12,12/31/15 0:38,Residential Building/House,11215,BROOKLYN,BROOKLYN,40.66505114,-73.9812779
12/31/15 0:12,12/31/15 5:03,Residential Building/House,10463,BRONX,BRONX,40.87589494,-73.91247127
12/31/15 0:14,12/31/15 6:25,Store/Commercial,11372,JACKSON HEIGHTS,QUEENS,40.7555836,-73.88520105
12/31/15 0:15,12/31/15 2:58,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
12/31/15 0:16,12/31/15 0:59,Store/Commercial,10033,NEW YORK,MANHATTAN,40.84700716,-73.93819338
12/31/15 0:18,12/31/15 3:49,Store/Commercial,10034,NEW YORK,MANHATTAN,40.86597801,-73.91953085
12/31/15 0:19,12/31/15 2:18,Club/Bar/Restaurant,11375,FOREST HILLS,QUEENS,40.71924727,-73.84237049
12/31/15 0:19,12/31/15 0:29,Club/Bar/Restaurant,10027,NEW YORK,MANHATTAN,40.81453554,-73.95914444
12/31/15 0:19,12/31/15 5:04,Residential Building/House,10468,BRONX,BRONX,40.87303475,-73.90195294
12/31/15 0:20,12/31/15 1:40,Residential Building/House,11417,OZONE PARK,QUEENS,40.67771292,-73.83232708
12/31/15 0:20,12/31/15 4:51,Residential Building/House,11233,BROOKLYN,BROOKLYN,40.68532364,-73.92583881
12/31/15 0:22,12/31/15 16:24,Residential Building/House,11217,BROOKLYN,BROOKLYN,40.68423815,-73.98935266
12/31/15 0:22,12/31/15 6:06,Residential Building/House,11355,FLUSHING,QUEENS,40.75812391,-73.82884714
12/31/15 0:23,12/31/15 16:28,Residential Building/House,11234,BROOKLYN,BROOKLYN,40.63333681,-73.92071208
12/31/15 0:25,12/31/15 8:42,Residential Building/House,10452,BRONX,BRONX,40.8311959,-73.93034856
12/31/15 0:26,12/31/15 6:53,Residential Building/House,10468,BRONX,BRONX,40.86950167,-73.90443849
12/31/15 0:28,12/31/15 5:19,Club/Bar/Restaurant,10025,NEW YORK,MANHATTAN,40.80234631,-73.96810968
12/31/15 0:31,12/31/15 1:44,Club/Bar/Restaurant,11103,ASTORIA,QUEENS,40.76577062,-73.91898768
12/31/15 0:31,12/31/15 6:34,Residential Building/House,10458,BRONX,BRONX,40.86905269,-73.89030928
